Financier Country,Recipient,Recipient Region,Commitment Year,Title,Flow Class,Sector Name,Funding Agencies,Amount in USD (nominal),Source URLs,District,Development Region,Province,Location,"Distance to closest border crossing in km (India: Banbasa, India - Kanchanpur District, Nepal;
    Rupaidiha, India - Banke District, Nepal;
    Sonauli, India - Rupandehi District, Nepal;
    Raxaul, India - Birgunj, Nepal (also known as the 'Gateway of Nepal');
    Bhitthamore,India - Mahottari District, Nepal;
    Jogbani, India - Biratnagar, Nepal;
    Panitanki, India - Kakarbhitta, Nepal) (China: Gyirong, China –Rasuwa, Nepal; Zhangmu, China – Kodari, Nepal)",Ethnicity,Population (in 1000),GDP (Value Added) Rs. in million (2013),HDI (2013),Government Expenditure by district in thousands (year 2013)
India,Nepal,Asia,2011,Integrated Check Posts,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1691292,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Banke,Mid-Western,Lumbini,Birgunj,9,Musalman,442485,22619.6,0.475,1170702.97
India,Nepal,Asia,2011,Integrated Check Posts,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1691292,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Rupandehi,West,Lumbini,Biratnagar,"6,3",Braham-Hill,800430,40138.8,0.498,1581064.43
India,Nepal,Asia,2011,"Embankment construction on Lalbakaya, Bagmati, Kamla and Khando rivers",ODA,GENERAL ENVIRONMENTAL PROTECTION,Indian Ministry of External Affairs,563764,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Madhesh,Nepalgunj,"5,4",Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2011,Manmohan Adhikari Polytechnic,ODA,POST-SECONDARY EDUCATION,Indian Ministry of External Affairs,1127528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Siddharthanagar,"3,7",Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2013,Integrated CheckPost (ICP),ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1031001,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Saptarī,"90,7",Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2013,Strengthening of India-Nepal Power Transmission Interconnections,ODA,ENERGY GENERATION AND SUPPLY,Indian Ministry of External Affairs,229111,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Makwanpur,Central,Bagmati,Manmohan Memorial Polytechnic,"19,2",Tamang,382268,24156.7,0.497,1186831.96
India,Nepal,Asia,2013,Strengthening of India-Nepal Power Transmission Interconnections,ODA,ENERGY GENERATION AND SUPPLY,Indian Ministry of External Affairs,229111,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Biratnagar,"6,3",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2013,Strengthening of India-Nepal Power Transmission Interconnections,ODA,ENERGY GENERATION AND SUPPLY,Indian Ministry of External Affairs,229111,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Madhesh,Nārāyanī Zone,"85,3",Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2013,Strengthening of India-Nepal Power Transmission Interconnections,ODA,ENERGY GENERATION AND SUPPLY,Indian Ministry of External Affairs,229111,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Sagarmatha,Parwanipur,"85,7",Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2013,"Police training, human capacity building and modernization programmes; Nepal Police Academy.",ODA,"GOVERNMENT AND CIVIL SOCIETY, GENERAL",Indian Ministry of External Affairs,1786258,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Sagarmāthā Zone,284,Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2013,"Emergency and Trauma Centre, Kathmandu",ODA,"HEALTH, GENERAL",Indian Ministry of External Affairs,1512250,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Kusaha,115,Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2013,"Construction of Nepal-Bharat Maitri Dharmashala, Tilanga, Kathmandu",ODA,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Indian Ministry of External Affairs,274009,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,National Police Academy,142,Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2013,Construction of Nepal-Bharat Maitri Convention Hall (Sabha Griha) in Birgunj,ODA,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,Indian Ministry of External Affairs,274009,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Parsa,Central,Madhesh,National Trauma Centre,139,Musalman,533174,30004.6,0.464,1296319.53
India,Nepal,Asia,2013,Establishment of Nepal-Bharat Maitri Polytechnic at Hetauda,ODA,POST-SECONDARY EDUCATION,Indian Ministry of External Affairs,206374,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Makwanpur,Central,Bagmati,Tilganga,141,Tamang,382268,24156.7,0.497,1186831.96
India,Nepal,Asia,2010,Integrated Check Posts,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1187152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Parsa,Central,Madhesh,Birgunj,9,Musalman,533174,30004.6,0.464,1296319.53
India,Nepal,Asia,2010,Integrated Check Posts,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1187152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Hetauda,"59,8",Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2010,Integrated Check Posts,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1187152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Banke,Mid-Western,Lumbini,Birgunj,9,Musalman,442485,22619.6,0.475,1170702.97
India,Nepal,Asia,2010,Integrated Check Posts,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1187152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Rupandehi,West,Lumbini,Biratnagar,"6,3",Braham-Hill,800430,40138.8,0.498,1581064.43
India,Nepal,Asia,2010,Bagmati Civilisation Project ,ODA,WATER SUPPLY AND SANITATION,Indian Ministry of External Affairs,35615,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Nepalgunj,"5,4",Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2010,Dharamshala for Pasupati Area Development Trust,ODA,GENERAL ENVIRONMENTAL PROTECTION,Indian Ministry of External Affairs,47486,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Siddharthanagar,"3,7",Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2011,"Intermediate Development Projects- Birgunj Sabha Griha, 1000 shallow tube wells, upgradation of road, Baktawari Eye Hospital etc.",ODA,MULTISECTOR,Indian Ministry of External Affairs,180405,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Madhesh,High Powered Committee for Integrated Development of the Bagmati Civilization,9,Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2011,"Intermediate Development Projects- Birgunj Sabha Griha, 1000 shallow tube wells, upgradation of road, Baktawari Eye Hospital etc.",ODA,MULTISECTOR,Indian Ministry of External Affairs,180405,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Pashupati̇̄nāth,143,Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2011,"Intermediate Development Projects- Birgunj Sabha Griha, 1000 shallow tube wells, upgradation of road, Baktawari Eye Hospital etc.",ODA,MULTISECTOR,Indian Ministry of External Affairs,180405,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Parsa,Central,Madhesh,Mahottarī,"9,8",Musalman,533174,30004.6,0.464,1296319.53
India,Nepal,Asia,2011,"Intermediate Development Projects- Birgunj Sabha Griha, 1000 shallow tube wells, upgradation of road, Baktawari Eye Hospital etc.",ODA,MULTISECTOR,Indian Ministry of External Affairs,180405,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kapilbastu,West,Lumbini,Dhanusa,"38,5",Musalman,508498,23002.8,0.432,1193584.51
India,Nepal,Asia,2011,Bir Hospital Expansion,ODA,BASIC HEALTH,Indian Ministry of External Affairs,676517,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Birgunj,9,Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2011,Polytechnic at Hetauda,ODA,POST-SECONDARY EDUCATION,Indian Ministry of External Affairs,563764,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Makwanpur,Central,Bagmati,KrishnaNagar,"79,1",Tamang,382268,24156.7,0.497,1186831.96
India,Nepal,Asia,2011,"Construction of College Block & Indian faculty support for BP Koirala Institute of Health Science, Dharan, Nepal (BPKIHS)",ODA,POST-SECONDARY EDUCATION,Indian Ministry of External Affairs,225506,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sunsari,East,Nr 1,Bir Hospital,138,Tharu,695435,34261.1,0.496,1371969.56
India,Nepal,Asia,2011,Devighat Hydro-electric Project,ODA,ENERGY GENERATION AND SUPPLY,Indian Ministry of External Affairs,225506,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Nuwakot,Central,Bagmati,Hetauda,"59,8",Tamang,255687,12266.7,0.486,958029.72
India,Nepal,Asia,2011,Science Learning Centre near Kathmandu,ODA,"EDUCATION, LEVEL UNSPECIFIED",Indian Ministry of External Affairs,225506,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,B.P. Koirala Institute of Health Sciences,"48,7",Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2011,Repair of East-West Highway,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,112753,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sunsari,East,Nr 1,Devighat Hydroelectric Power Plant,172,Tharu,695435,34261.1,0.496,1371969.56
India,Nepal,Asia,2011,Repair of East-West Highway,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,112753,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Madhesh,Kathmandu District,140,Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2011,Mahendra nagar-Tanakpur Project,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,75169,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kanchanpur,Far-Western,Sudurpashchim,Sunsarī,"34,8",Chhetri,407283,17140.6,0.475,1255825.91
India,Nepal,Asia,2011,Mahendra nagar-Tanakpur Project,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,75169,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kanchanpur,Far-Western,Sudurpashchim,Saptarī,"90,7",Chhetri,407283,17140.6,0.475,1255825.91
India,Nepal,Asia,2010,1000 Shallow Tube Wells in Dhanusha and Mahottari,ODA,WATER SUPPLY AND SANITATION,Indian Ministry of External Affairs,83101,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Madhesh,Mahākālī Zone,171,Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2010,1000 Shallow Tube Wells in Dhanusha and Mahottari,ODA,WATER SUPPLY AND SANITATION,Indian Ministry of External Affairs,83101,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Mahendranagar,"5,9",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2009,Intermediate Projects,ODA,WATER SUPPLY AND SANITATION,Indian Ministry of External Affairs,425155,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Mahottarī,"9,8",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2009,Intermediate Projects,ODA,WATER SUPPLY AND SANITATION,Indian Ministry of External Affairs,425155,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Dhanusa,"38,5",Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2009,Intermediate Projects,ODA,WATER SUPPLY AND SANITATION,Indian Ministry of External Affairs,425155,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Parsa,Central,Madhesh,Dhanusa,"38,5",Musalman,533174,30004.6,0.464,1296319.53
India,Nepal,Asia,2009,Intermediate Projects,ODA,WATER SUPPLY AND SANITATION,Indian Ministry of External Affairs,425155,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Madhesh,Pashupati̇̄nāth,143,Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2009,Intermediate Projects,ODA,WATER SUPPLY AND SANITATION,Indian Ministry of External Affairs,425155,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Birgunj,9,Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Madhesh,Mahottarī,"9,8",Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Janakpur,Nepal Bharat Maitri Vidyalaya,183,Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Jaleshwor,"3,8",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Janakpur,Gaushala,"39,1",Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Chitawan,Central,Bagmati,Matiarwa,"14,2",Braham-Hill,537183,36270.9,0.551,1383942.55
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Nawalparasi,West,Gandaki,Maithan,"60,8",Braham-Hill,587898,30140.2,0.493,1257953.64
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Madhesh,Bhikhnā Thorī,"67,4",Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Madhesh,Nawalpur,240,Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Bhittamod,10,Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Madhesh,Malangwa,"45,3",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Tamagadhi,"44,1",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Madhesh,Madhubani Purbatol,"66,9",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Janakpur Dham,"21,3",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Mahinathpur,"67,4",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Janakpur,Birendra Bajar,"92,3",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Simraungadha,"23,4",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Barahathawa,"70,8",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bhaktapur,Central,Bagmati,Yadukoha,"38,6",Newar,284829,17142.0,0.573,885141.79
India,Nepal,Asia,2012,Terai Roads,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,343034,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Manmat,"17,1",Yadav,679445,28727.1,0.431,1563106.91
